developer,global_rank,aggregate_rating,total_products,total_positive,total_negative,games_on_page,rated_games,avg_rating,max_rating,min_rating,error
Valve,1,87.28%,32,14505700,2066892,45.0,31.0,86.2,97.74,47.21,
Larian Studios,16,95.45%,8,1047357,41853,11.0,8.0,82.01,96.04,50.0,
Game Science,14,95.76%,2,1161045,42773,2.0,2.0,86.43,95.86,77.0,
Rockstar Games,17,90.57%,10,1003991,96929,10.0,10.0,80.06,91.58,49.01,
Nihon Falcom,,,,,,50.0,46.0,84.32,94.78,67.68,
"Insomniac Games, Nixxes Software",,,,,,,,,,,timeout_or_blocked
"FromSoftware, Inc.",2,91.62%,9,2358288,201896,12.0,12.0,85.95,94.3,72.86,
Warhorse Studios,108,88.40%,2,316225,38119,2.0,2.0,88.24,93.02,83.46,
Bloober Team SA,302,89.12%,9,92632,9871,9.0,9.0,69.03,93.23,45.45,
Double Fine Productions,504,91.59%,6,45483,3283,24.0,19.0,80.06,93.29,20.59,
SHIFT UP Corporation,340,92.65%,1,79378,4978,1.0,1.0,92.65,92.65,92.65,
"Sucker Punch Productions, Nixxes Software",,,,,,,,,,,timeout_or_blocked
Sonic Team,553,79.13%,5,38187,9361,8.0,8.0,78.09,94.36,58.8,
Square Enix,37,84.10%,109,668676,120992,115.0,110.0,73.51,92.51,32.07,
ACQUIRE Corp,,,,,,,,,,,timeout_or_blocked
"KOEI TECMO GAMES CO., LTD.",99,75.69%,144,334563,104389,153.0,146.0,69.64,91.43,24.66,
SANDLOT,,,,,,3.0,3.0,83.78,92.19,67.53,
MAGES. Inc.,704,93.47%,2,27134,1264,47.0,45.0,77.39,94.84,46.67,
ATLUS,94,92.88%,21,345176,22812,29.0,25.0,78.24,95.47,50.06,
Ryu Ga Gotoku Studio,,,,,,,,,,,timeout_or_blocked
