developer,appid,name,type,rating,release,followers,online,peak
Valve,620,Portal 2,Game,97.74,1303171200,356072,1833,98460
Valve,400,Portal,Game,97.27,1191974400,148308,567,20672
Valve,550,Left 4 Dead 2,Game,96.79,1258416000,1280138,29948,162399
Valve,546560,Half-Life: Alyx,Game,96.77,1584921600,254682,282,42858
Valve,220,Half-Life 2,Game,96.52,1100563200,103125,1353,64085
Valve,10,Counter-Strike,Game,96.31,973036800,227366,5865,319586
Valve,4465480,Counter-Strike:Global Offensive,Game,95.6,1345507200,25444,30795,66099
Valve,70,Half-Life,Game,95.24,911433600,66209,849,33471
Valve,420,Half-Life 2: Episode Two,Tool,95.19,1191974400,51065,37,1419
Valve,240,Counter-Strike: Source,Game,95.09,1099267200,443363,17208,100056
Valve,500,Left 4 Dead,Game,94.73,1226880000,344792,658,30616
Valve,380,Half-Life 2: Episode One,Tool,93.79,1149120000,17441,7,1132
Valve,1902490,Aperture Desk Job,Game,92.74,1646092800,19934,14,3519
Valve,630,Alien Swarm,Game,92.62,1279497600,87770,16,60467
Valve,245550,Free to Play,Game,92.32,1395187200,24437,3,53002
Valve,323180,Portal 2 Soundtrack,Music,92.16,1411516800,0,0,1
Valve,323130,Half-Life Soundtrack,Music,91.69,1411516800,0,0,1
Valve,450390,The Lab,Game,91.68,1459814400,26672,12,927
Valve,1840,Source Filmmaker,Application,91.18,1341878400,139168,981,3975
Valve,629330,Fight Songs: The Music Of Team Fortress 2,Music,91.15,1493856000,0,0,1
Valve,323170,Portal Soundtrack,Music,91.05,1411516800,0,0,2
Valve,323140,Half-Life 2 Soundtrack,Music,91.0,1411516800,0,0,2
Valve,290930,Half-Life 2: Update,Game,90.62,1427414400,46741,26,3175
Valve,440,Team Fortress 2,Game,90.24,1191974400,1435575,53721,253997
Valve,300,Day of Defeat: Source,Game,89.74,1127692800,27019,277,7507
Valve,80,Counter-Strike: Condition Zero,Game,89.56,1078099200,48104,285,32748
Valve,320,Half-Life 2: Deathmatch,Game,88.55,1099267200,9917,131,2702
Valve,30,Day of Defeat,Game,87.47,1051747200,7664,128,7758
Valve,539730,True Sight,Series,87.46,1476403200,6534,0,229
Valve,323160,Half-Life 2: Episode Two Soundtrack,Music,87.27,1411516800,0,0,1
Valve,340,Half-Life 2: Lost Coast,Tool,87.11,1130371200,14618,2,180
Valve,2678630,Counter-Strike 2 Soundtrack,Music,87.11,0,0,0,0
Valve,411180,Dota 2 Player Profiles,Series,86.88,1447372800,19587,0,93
Valve,652720,The Dota 2 Remixes EP,Music,86.72,1581379200,0,0,1
Valve,323150,Half-Life 2: Episode One Soundtrack,Music,86.49,1411516800,0,0,1
Valve,1241930,The Dota 2 Official Soundtrack,Music,86.16,1581379200,0,0,0
Valve,730,Counter-Strike 2,Game,85.91,1345507200,4753445,662892,1862531
Valve,322070,Left 4 Dead 2 - Uncensored,DLC,85.88,0,0,0,0
Valve,1310460,Half-Life: Alyx Soundtrack,Music,85.68,1588636800,0,0,0
Valve,250820,SteamVR,Tool,85.57,0,61441,0,815
Valve,1070910,Are you ready for Valve Index?,Tool,84.78,1556582400,0,9,156
Valve,20,Team Fortress Classic,Game,84.74,922924800,10160,72,1897
Valve,1244060,Steam Summer Saliens Soundtrack,Music,84.66,1581379200,0,0,2
Valve,323120,Free to Play Soundtrack,Music,83.86,1411516800,0,0,1
Valve,1244070,Steam Summer Monsters Soundtrack,Music,83.53,1581379200,0,0,1
Valve,1046930,Dota Underlords,Game,81.19,1560988800,68526,511,202334
Valve,60,Ricochet,Game,80.68,973036800,3122,3,353
Valve,570,Dota 2,Game,80.62,1373328000,2488269,290576,1295114
Valve,40,Deathmatch Classic,Game,80.3,991353600,2975,3,629
Valve,1554570,"Half-Life: Alyx - Final Hours ""Triage at Dawn"" Theme",Music,78.6,1614038400,0,0,0
Valve,534600,Steam Dev Days,Series,77.59,1478217600,973,0,25
Valve,3324680,Counter-Strike Nexon - 11th Anniversary Fever Pack,DLC,75.48,1758067200,0,0,0
Valve,323910,SteamVR Performance Test,Tool,74.56,1456099200,0,0,1566
Valve,360,Half-Life Deathmatch: Source,Game,73.62,1146441600,7071,34,223
Valve,1669410,"Welcome To Next Fest, June 2021",Video,73.19,0,30,0,2
Valve,1434240,Steam Game Festival,Series,69.2,1602028800,306,0,2
Valve,280,Half-Life: Source,Game,67.63,1086048000,21500,20,629
Valve,1082354,The International 10 Battle Pass,DLC,67.19,1590451200,0,0,0
Valve,273110,Counter-Strike Nexon,Game,65.9,1412640000,84516,273,10007
Valve,480560,RPG Maker MV - Team Fortress 2 Character Pack,DLC,57.75,1464220800,0,0,0
Valve,1269260,Artifact Foundry,Game,56.78,0,1762,3,561
Valve,613220,Steam 360 Video Player,Tool,54.43,1494374400,1394,0,53
Valve,1838090,The Aghanim’s Labyrinth Battle Pass,DLC,54.07,0,0,0,0
Valve,3324690,Counter-Strike Nexon - All-in-One Mega Pack,DLC,53.31,1764115200,0,0,0
Valve,583950,Artifact,Game,47.21,1543363200,137746,18,60646
Valve,3324670,Counter-Strike Nexon - Versus Zombies: Weapon Drop,DLC,40.6,1747180800,0,0,0
Valve,1082357,Nemestice 2021 Battle Pass,DLC,37.9,1624406400,0,0,0
Valve,3324660,Counter-Strike Nexon - Hopeful Chest DLC,DLC,32.42,1734998400,0,0,0
